Frame,Acquisition Time,Acquisition Time MDT,Cluster Count,Energy(Kev),Dose rate (uSv),SMALL_BLOB,HEAVY_TRACK,HEAVY_BLOB,MEDIUM_BLOB,STRAIGHT_TRACK,LIGHT_TRACK,Altitude,Dose
167,3:43:20 AM,8:43:20 AM,1,241.51,0.00,0,0,0,0,0,1,4153,0.150894904
168,3:43:27 AM,8:43:27 AM,1,7.49,0.00,1,0,0,0,0,0,4153,0.004677235
169,3:43:33 AM,8:43:33 AM,1,10.96,0.00,1,0,0,0,0,0,4153,0.006844798
170,3:43:39 AM,8:43:39 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
171,3:43:46 AM,8:43:46 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
172,3:43:52 AM,8:43:52 AM,1,187.19,0.00,0,0,0,0,1,0,4153,0.116957532
173,3:43:58 AM,8:43:58 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
174,3:44:04 AM,8:44:04 AM,1,628.28,0.01,0,1,0,0,0,0,4153,0.392557171
175,3:44:11 AM,8:44:11 AM,1,384.09,0.00,0,0,0,0,1,0,4153,0.239982327
176,3:44:17 AM,8:44:17 AM,1,26.92,0.00,1,0,0,0,0,0,4153,0.01681916
177,3:44:23 AM,8:44:23 AM,2,274.24,0.00,1,0,0,0,0,1,4153,0.171349994
178,3:44:29 AM,8:44:29 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
179,3:44:36 AM,8:44:36 AM,1,155.39,0.00,0,0,0,0,0,1,4153,0.09708803
180,3:44:42 AM,8:44:42 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
181,3:44:48 AM,8:44:48 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
182,3:44:54 AM,8:44:54 AM,1,23.40,0.00,1,0,0,0,0,0,4153,0.014621955
183,3:45:01 AM,8:45:01 AM,1,240.94,0.00,0,0,0,0,0,1,4153,0.150543648
184,3:45:07 AM,8:45:07 AM,1,79.45,0.00,1,0,0,0,0,0,4153,0.049640095
185,3:45:13 AM,8:45:13 AM,1,55.26,0.00,1,0,0,0,0,0,4153,0.034524421
186,3:45:20 AM,8:45:20 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
187,3:45:26 AM,8:45:26 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
188,3:45:32 AM,8:45:32 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
189,3:45:38 AM,8:45:38 AM,1,96.29,0.00,1,0,0,0,0,0,4153,0.060164277
190,3:45:45 AM,8:45:45 AM,1,430.02,0.00,0,0,0,0,0,1,4153,0.268680504
191,3:45:51 AM,8:45:51 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
192,3:45:57 AM,8:45:57 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
193,3:46:03 AM,8:46:03 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
194,3:46:10 AM,8:46:10 AM,3,490.46,0.01,1,0,0,0,1,1,4153,0.306445384
195,3:46:16 AM,8:46:16 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
196,3:46:22 AM,8:46:22 AM,1,6.14,0.00,1,0,0,0,0,0,4153,0.003836068
197,3:46:29 AM,8:46:29 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
198,3:46:35 AM,8:46:35 AM,2,539.18,0.01,0,0,0,0,0,2,4153,0.336885583
199,3:46:41 AM,8:46:41 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
200,3:46:47 AM,8:46:47 AM,1,42.52,0.00,1,0,0,0,0,0,4153,0.026568101
201,3:46:54 AM,8:46:54 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
202,3:47:00 AM,8:47:00 AM,1,730.27,0.01,0,1,0,0,0,0,4153,0.456278238
203,3:47:06 AM,8:47:06 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
204,3:47:12 AM,8:47:12 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
205,3:47:19 AM,8:47:19 AM,1,98.89,0.00,1,0,0,0,0,0,4153,0.061787262
206,3:47:25 AM,8:47:25 AM,1,230.28,0.00,0,0,0,0,0,1,4153,0.143879825
207,3:47:31 AM,8:47:31 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
208,3:47:37 AM,8:47:37 AM,1,5.64,0.00,1,0,0,0,0,0,4153,0.003522817
209,3:47:44 AM,8:47:44 AM,1,119.68,0.00,1,0,0,0,0,0,4153,0.074778963
210,3:47:50 AM,8:47:50 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
211,3:47:56 AM,8:47:56 AM,2,70.47,0.00,2,0,0,0,0,0,4153,0.04402732
212,3:48:03 AM,8:48:03 AM,1,30.17,0.00,1,0,0,0,0,0,4153,0.018851638
213,3:48:09 AM,8:48:09 AM,2,348.73,0.00,1,0,0,0,0,1,4153,0.217889033
214,3:48:15 AM,8:48:15 AM,1,152.56,0.00,1,0,0,0,0,0,4153,0.095319877
215,3:48:21 AM,8:48:21 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
216,3:48:28 AM,8:48:28 AM,0,0.00,0.00,0,0,0,0,0,0,4153,0
217,3:48:34 AM,8:48:34 AM,1,214.17,0.00,0,0,0,0,1,0,4153,0.133817921
218,3:48:40 AM,8:48:40 AM,1,151.25,0.00,1,0,0,0,0,0,4153,0.094504141
219,3:48:46 AM,8:48:46 AM,1,7.90,0.00,1,0,0,0,0,0,4153,0.004937762
