"Date","Time","---","Sensor Name","Data"
"1:14:33","9/3/17","DATA","PRESSURE_S:","876.86"
"1:14:36","9/3/17","DATA","PRESSURE_S:","877.02"
"1:14:40","9/3/17","DATA","PRESSURE_S:","877.14"
"1:14:43","9/3/17","DATA","PRESSURE_S:","877.92"
"1:14:47","9/3/17","DATA","PRESSURE_S:","878.20"
"1:14:50","9/3/17","DATA","PRESSURE_S:","878.32"
"1:14:54","9/3/17","DATA","PRESSURE_S:","878.00"
"1:14:57","9/3/17","DATA","PRESSURE_S:","877.16"
"1:15:01","9/3/17","DATA","PRESSURE_S:","877.12"
"1:15:04","9/3/17","DATA","PRESSURE_S:","877.06"
"1:15:08","9/3/17","DATA","PRESSURE_S:","876.94"
"1:15:11","9/3/17","DATA","PRESSURE_S:","877.22"
"1:15:15","9/3/17","DATA","PRESSURE_S:","877.66"
"1:15:18","9/3/17","DATA","PRESSURE_S:","877.72"
"1:15:22","9/3/17","DATA","PRESSURE_S:","877.56"
"1:15:25","9/3/17","DATA","PRESSURE_S:","877.92"
"1:15:29","9/3/17","DATA","PRESSURE_S:","877.92"
"1:15:32","9/3/17","DATA","PRESSURE_S:","878.10"
"1:15:36","9/3/17","DATA","PRESSURE_S:","877.48"
"1:15:39","9/3/17","DATA","PRESSURE_S:","877.48"
"1:15:43","9/3/17","DATA","PRESSURE_S:","877.14"
"1:15:46","9/3/17","DATA","PRESSURE_S:","876.98"
"1:15:50","9/3/17","DATA","PRESSURE_S:","876.94"
"1:15:53","9/3/17","DATA","PRESSURE_S:","877.40"
"1:15:57","9/3/17","DATA","PRESSURE_S:","877.58"
"1:16:00","9/3/17","DATA","PRESSURE_S:","877.52"
"1:16:04","9/3/17","DATA","PRESSURE_S:","877.40"
"1:16:07","9/3/17","DATA","PRESSURE_S:","877.40"
"1:16:11","9/3/17","DATA","PRESSURE_S:","877.46"
"1:16:14","9/3/17","DATA","PRESSURE_S:","877.40"
"1:16:18","9/3/17","DATA","PRESSURE_S:","877.46"
"1:16:21","9/3/17","DATA","PRESSURE_S:","877.76"
"1:16:25","9/3/17","DATA","PRESSURE_S:","877.60"
"1:16:28","9/3/17","DATA","PRESSURE_S:","877.48"
"1:16:32","9/3/17","DATA","PRESSURE_S:","877.72"
"1:16:35","9/3/17","DATA","PRESSURE_S:","877.78"
"1:16:39","9/3/17","DATA","PRESSURE_S:","877.78"
"1:16:42","9/3/17","DATA","PRESSURE_S:","877.90"
"1:16:46","9/3/17","DATA","PRESSURE_S:","878.02"
"1:16:49","9/3/17","DATA","PRESSURE_S:","877.46"
"1:16:53","9/3/17","DATA","PRESSURE_S:","877.70"
"1:16:56","9/3/17","DATA","PRESSURE_S:","877.82"
"1:17:00","9/3/17","DATA","PRESSURE_S:","877.42"
"1:17:03","9/3/17","DATA","PRESSURE_S:","877.44"
"1:17:07","9/3/17","DATA","PRESSURE_S:","878.68"
"1:17:10","9/3/17","DATA","PRESSURE_S:","878.68"
"1:17:14","9/3/17","DATA","PRESSURE_S:","878.52"
"1:17:17","9/3/17","DATA","PRESSURE_S:","879.26"
"1:17:21","9/3/17","DATA","PRESSURE_S:","879.44"
"1:17:24","9/3/17","DATA","PRESSURE_S:","878.78"
"1:17:28","9/3/17","DATA","PRESSURE_S:","878.40"
"1:17:31","9/3/17","DATA","PRESSURE_S:","878.12"
"1:17:35","9/3/17","DATA","PRESSURE_S:","877.78"
"1:17:38","9/3/17","DATA","PRESSURE_S:","877.26"
"1:17:42","9/3/17","DATA","PRESSURE_S:","876.98"
"1:17:45","9/3/17","DATA","PRESSURE_S:","877.26"
"1:17:49","9/3/17","DATA","PRESSURE_S:","877.50"
"1:17:52","9/3/17","DATA","PRESSURE_S:","877.86"
"1:17:56","9/3/17","DATA","PRESSURE_S:","878.10"
"1:17:59","9/3/17","DATA","PRESSURE_S:","878.22"
"1:18:03","9/3/17","DATA","PRESSURE_S:","878.24"
"1:18:06","9/3/17","DATA","PRESSURE_S:","877.90"
"1:18:10","9/3/17","DATA","PRESSURE_S:","877.16"
"1:18:13","9/3/17","DATA","PRESSURE_S:","877.22"
"1:18:17","9/3/17","DATA","PRESSURE_S:","877.34"
"1:18:20","9/3/17","DATA","PRESSURE_S:","877.06"
"1:18:24","9/3/17","DATA","PRESSURE_S:","877.64"
"1:18:27","9/3/17","DATA","PRESSURE_S:","878.00"
"1:18:31","9/3/17","DATA","PRESSURE_S:","877.56"
"1:18:34","9/3/17","DATA","PRESSURE_S:","877.62"
"1:18:38","9/3/17","DATA","PRESSURE_S:","877.34"
"1:18:41","9/3/17","DATA","PRESSURE_S:","877.22"
"1:18:45","9/3/17","DATA","PRESSURE_S:","877.78"
"1:18:48","9/3/17","DATA","PRESSURE_S:","877.90"
"1:18:52","9/3/17","DATA","PRESSURE_S:","878.08"
"1:18:55","9/3/17","DATA","PRESSURE_S:","878.76"
"1:18:59","9/3/17","DATA","PRESSURE_S:","879.00"
"1:19:02","9/3/17","DATA","PRESSURE_S:","878.90"
"1:19:06","9/3/17","DATA","PRESSURE_S:","879.02"
"1:19:09","9/3/17","DATA","PRESSURE_S:","878.58"
"1:19:13","9/3/17","DATA","PRESSURE_S:","878.20"
"1:19:16","9/3/17","DATA","PRESSURE_S:","877.88"
"1:19:20","9/3/17","DATA","PRESSURE_S:","877.38"
"1:19:23","9/3/17","DATA","PRESSURE_S:","878.06"
"1:19:27","9/3/17","DATA","PRESSURE_S:","878.24"
"1:19:30","9/3/17","DATA","PRESSURE_S:","878.08"
"1:19:34","9/3/17","DATA","PRESSURE_S:","877.74"
"1:19:37","9/3/17","DATA","PRESSURE_S:","877.80"
"1:19:41","9/3/17","DATA","PRESSURE_S:","877.42"
"1:19:44","9/3/17","DATA","PRESSURE_S:","877.48"
"1:19:48","9/3/17","DATA","PRESSURE_S:","878.22"
"1:19:51","9/3/17","DATA","PRESSURE_S:","878.40"
"1:19:55","9/3/17","DATA","PRESSURE_S:","878.02"
"1:19:58","9/3/17","DATA","PRESSURE_S:","877.74"
"1:20:02","9/3/17","DATA","PRESSURE_S:","877.86"
"1:20:05","9/3/17","DATA","PRESSURE_S:","877.14"
"1:20:09","9/3/17","DATA","PRESSURE_S:","877.42"
"1:20:12","9/3/17","DATA","PRESSURE_S:","877.32"
"1:20:16","9/3/17","DATA","PRESSURE_S:","877.44"
"1:20:19","9/3/17","DATA","PRESSURE_S:","877.12"
"1:20:23","9/3/17","DATA","PRESSURE_S:","877.56"
"1:20:26","9/3/17","DATA","PRESSURE_S:","877.40"
"1:20:30","9/3/17","DATA","PRESSURE_S:","877.74"
"1:20:33","9/3/17","DATA","PRESSURE_S:","878.14"
"1:20:37","9/3/17","DATA","PRESSURE_S:","877.86"
"1:20:40","9/3/17","DATA","PRESSURE_S:","877.66"
"1:20:44","9/3/17","DATA","PRESSURE_S:","877.40"
"1:20:47","9/3/17","DATA","PRESSURE_S:","877.12"
"1:20:51","9/3/17","DATA","PRESSURE_S:","876.74"
"1:20:54","9/3/17","DATA","PRESSURE_S:","876.86"
"1:20:58","9/3/17","DATA","PRESSURE_S:","876.36"
"1:21:01","9/3/17","DATA","PRESSURE_S:","876.58"
"1:21:05","9/3/17","DATA","PRESSURE_S:","877.16"
"1:21:08","9/3/17","DATA","PRESSURE_S:","877.22"
"1:21:12","9/3/17","DATA","PRESSURE_S:","877.28"
"1:21:15","9/3/17","DATA","PRESSURE_S:","877.86"
"1:21:19","9/3/17","DATA","PRESSURE_S:","877.98"
